word,definition
Sundanese language,the Indonesian language spoken on West Java
Balinese language,the Indonesian language of the people of Bali
Filipino language,official language of the Philippines; based on Tagalog; draws its lexicon from other Philippine languages
Philippine language,official language of the Philippines; based on Tagalog; draws its lexicon from other Philippine languages
Tagalog language,the language of the Tagalog on which Filipino is based
Cebuan language,language of the people of Cebu in the Philippines; its lexicon contributes to the official language of the Philippines
Cebuano language,language of the people of Cebu in the Philippines; its lexicon contributes to the official language of the Philippines
Aboriginal Australian,the languages spoken by Australian aborigines
Australian language,the languages spoken by Australian aborigines
Aboriginal Australian language,the languages spoken by Australian aborigines
Jirrbal language,"a language of Australian aborigines, spoken in northeast Queensland"
Dyirbal language,"a language of Australian aborigines, spoken in northeast Queensland"
Warlpiri language,"a language of Australian aborigines, spoken in Australia's Northern Territory"
Walbiri language,"a language of Australian aborigines, spoken in Australia's Northern Territory"
Formosan language,the Austronesian languages spoken on Formosa
Atayalic language,a language spoken by a Malaysian people on Formosa
Tayalic language,a language spoken by a Malaysian people on Formosa
Tsouic language,"a group of Formosan languages comprising Tsou, Kanakanabu and Saaroa"
Paiwanic language,a Formosan language spoken by the Paiwan people in Taiwan
Papuan language,any of the indigenous languages spoken in Papua New Guinea or New Britain or the Solomon Islands that are not Malayo-Polynesian languages
Khoisan language,a family of languages spoken in southern Africa
Khoikhoi language,any of the Khoisan languages spoken by the pastoral people of Namibia and South Africa
Hottentot language,any of the Khoisan languages spoken by the pastoral people of Namibia and South Africa
Khoikhoin language,any of the Khoisan languages spoken by the pastoral people of Namibia and South Africa
Indo-European,the family of languages that by 1000 BC were spoken throughout Europe and in parts of southwestern and southern Asia
Indo-European language,the family of languages that by 1000 BC were spoken throughout Europe and in parts of southwestern and southern Asia
Indo-Hittite,the family of languages that by 1000 BC were spoken throughout Europe and in parts of southwestern and southern Asia
Proto-Indo European,a prehistoric unrecorded language that was the ancestor of all Indo-European languages
Proto-Indo European language,a prehistoric unrecorded language that was the ancestor of all Indo-European languages
Albanian language,the Indo-European language spoken by the people of Albania
Gheg dialect,the dialect of Albanian spoken in northern Albania and Yugoslavia
Tosk dialect,the dialect of Albanian spoken in southern Albania and in areas of Greece and Italy
Armenian language,"the Indo-European language spoken predominantly in Armenia, but also in Azerbaijan"
Thraco-Phrygian,"an extinct branch of the Indo-European language family, not widely accepted now as Phrygian is now thought to be more closely related to Greek"
Thracian language,a Thraco-Phrygian language spoken by the ancient people of Thrace but extinct by the early Middle Ages
Phrygian language,a Thraco-Phrygian language spoken by the ancient inhabitants of Phrygia and now extinct — preserved only in a few inscriptions
Balto-Slavic,a family of Indo-European languages including the Slavic and Baltic languages
Balto-Slavic language,a family of Indo-European languages including the Slavic and Baltic languages
Balto-Slavonic,a family of Indo-European languages including the Slavic and Baltic languages
Slavic language,a branch of the Indo-European family of languages
Slavonic language,a branch of the Indo-European family of languages
Old Church Slavonic,the Slavic language into which the Bible was translated in the 9th century
Old Church Slavic,the Slavic language into which the Bible was translated in the 9th century
Church Slavic,the Slavic language into which the Bible was translated in the 9th century
Old Bulgarian,the Slavic language into which the Bible was translated in the 9th century
Old Bulgarian language,the Slavic language into which the Bible was translated in the 9th century
Church Slavic language,the Slavic language into which the Bible was translated in the 9th century
Old Church Slavic language,the Slavic language into which the Bible was translated in the 9th century
Old Church Slavonic language,the Slavic language into which the Bible was translated in the 9th century
Russian language,the Slavic language that is the official language of Russia
Byelorussian,the Slavic language spoken in Belarus
White Russian,the Slavic language spoken in Belarus
Belarusian language,the Slavic language spoken in Belarus
Byelorussian language,the Slavic language spoken in Belarus
White Russian language,the Slavic language spoken in Belarus
Ukrainian language,the Slavic language spoken in the Ukraine
Polish language,the Slavic language of Poland
Slovak language,the Slavic language spoken in Slovakia
Czech language,the Slavic language of Czechs
Slovenian language,The South Slavic language that is the official language of Slovenia and spoken by the majority of its population
Slovene language,The South Slavic language that is the official language of Slovenia and spoken by the majority of its population
Serbo-Croat,the Slavic language of the Serbs and Croats; the Serbian dialect is usually written in the Cyrillic alphabet and the Croatian dialect is usually written in the Roman alphabet
Serbo-Croatian,the Slavic language of the Serbs and Croats; the Serbian dialect is usually written in the Cyrillic alphabet and the Croatian dialect is usually written in the Roman alphabet
Sorbian language,a Slavonic language spoken in rural area of southeastern Germany
Lusatian language,a Slavonic language spoken in rural area of southeastern Germany
